,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,1st Round,3,Clement A.,Gaudenzi A.,18,101,6.0,7.0,6.0,0.0,6.0,3.0,,,,,2,1,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,12.0,103096.0,3.0,,Arnaud Clement,R,173.0,FRA,23.0,102247.0,,,Andrea Gaudenzi,R,183.0,ITA,27.4,6-7(1) 6-0 6-3,3.0,R32,138.0,4.0,1.0,106.0,57.0,34.0,25.0,14.0,11.0,14.0,3.0,12.0,89.0,36.0,25.0,21.0,13.0,5.0,12.0,18.0,1360.0,101.0,404.0
1,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,1st Round,3,Goldstein P.,Jones A.,81,442,6.0,4.0,6.0,2.0,,,,,,,2,0,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,6.0,102834.0,,,Paul Goldstein,R,178.0,USA,24.4,103553.0,,Q,Alun Jones,R,180.0,AUS,20.6,6-4 6-2,3.0,R32,66.0,0.0,1.0,49.0,30.0,23.0,12.0,9.0,1.0,2.0,1.0,3.0,47.0,26.0,14.0,11.0,9.0,0.0,4.0,81.0,517.0,442.0,51.0
2,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,1st Round,3,Haas T.,Smith L.,23,485,6.0,3.0,6.0,3.0,,,,,,,2,0,Completed,,,1.12,4.0,1.1,3.5,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,4.0,103163.0,5.0,,Tommy Haas,R,188.0,GER,22.7,102875.0,,WC,Luke Smith,R,188.0,AUS,24.1,6-3 6-3,3.0,R32,64.0,2.0,1.0,48.0,30.0,25.0,12.0,9.0,1.0,1.0,3.0,5.0,50.0,27.0,15.0,13.0,9.0,3.0,6.0,23.0,1145.0,485.0,44.0
3,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,1st Round,3,Henman T.,Rusedski G.,10,69,6.0,2.0,7.0,6.0,,,,,,,2,0,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,16.0,102450.0,2.0,,Tim Henman,R,185.0,GBR,26.3,102257.0,,,Greg Rusedski,L,193.0,GBR,27.3,6-2 7-6(4),3.0,R32,81.0,2.0,1.0,60.0,44.0,37.0,10.0,10.0,0.0,0.0,11.0,5.0,73.0,33.0,27.0,18.0,10.0,6.0,8.0,10.0,2020.0,69.0,575.0
4,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,1st Round,3,Hewitt L.,Arthurs W.,7,83,6.0,4.0,6.0,3.0,,,,,,,2,0,Completed,1.28,3.3,1.12,3.8,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,1.0,103720.0,1.0,,Lleyton Hewitt,R,180.0,AUS,19.8,101885.0,,,Wayne Arthurs,L,190.0,AUS,29.7,6-4 6-3,3.0,R32,83.0,3.0,2.0,60.0,31.0,23.0,18.0,9.0,1.0,1.0,8.0,5.0,65.0,32.0,26.0,13.0,10.0,5.0,8.0,7.0,2625.0,83.0,513.0
5,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,1st Round,3,Johansson T.,Mantilla F.,39,99,7.0,6.0,6.0,2.0,,,,,,,2,0,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,13.0,102563.0,7.0,,Thomas Johansson,R,180.0,SWE,25.7,102456.0,,,Felix Mantilla,R,180.0,ESP,26.2,7-6(4) 6-2,3.0,R32,89.0,7.0,3.0,62.0,30.0,25.0,18.0,10.0,6.0,7.0,2.0,5.0,64.0,36.0,25.0,11.0,10.0,0.0,3.0,39.0,930.0,99.0,410.0
6,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,1st Round,3,Ljubicic I.,Sargsian S.,91,94,6.0,2.0,7.0,5.0,,,,,,,2,0,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,10.0,103344.0,,,Ivan Ljubicic,R,193.0,CRO,21.7,102227.0,,,Sargis Sargsian,R,180.0,ARM,27.5,6-2 7-5,3.0,R32,66.0,9.0,2.0,55.0,25.0,22.0,19.0,10.0,0.0,0.0,2.0,1.0,49.0,32.0,23.0,8.0,10.0,1.0,4.0,91.0,484.0,94.0,433.0
7,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,1st Round,3,Malisse X.,Woodruff C.,127,67,2.0,6.0,6.0,3.0,6.0,2.0,,,,,2,1,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,3.0,103598.0,,Q,Xavier Malisse,R,185.0,BEL,20.4,102162.0,,,Chris Woodruff,R,188.0,USA,27.9,2-6 6-3 6-2,3.0,R32,96.0,5.0,2.0,79.0,41.0,27.0,23.0,13.0,9.0,12.0,5.0,6.0,70.0,43.0,30.0,12.0,12.0,4.0,8.0,127.0,307.0,67.0,590.0
8,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,1st Round,3,Martin A.,Puentes G.,79,92,6.0,2.0,6.0,3.0,,,,,,,2,0,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,7.0,103252.0,,,Alberto Martin,R,175.0,ESP,22.3,102153.0,,,German Puentes,R,173.0,ESP,28.0,6-2 6-3,3.0,R32,56.0,3.0,2.0,42.0,26.0,23.0,7.0,8.0,0.0,1.0,0.0,4.0,57.0,30.0,18.0,10.0,9.0,1.0,6.0,79.0,518.0,92.0,451.0
9,1,Adelaide,AAPT Championships,20010101,International,Outdoor,Hard,1st Round,3,Massu N.,Sluiter R.,87,95,6.0,2.0,6.0,4.0,,,,,,,2,0,Completed,,,,,,,,,2001-339,Adelaide,Hard,32.0,A,20010101.0,11.0,103454.0,,,Nicolas Massu,R,183.0,CHI,21.2,103171.0,,,Raemon Sluiter,R,185.0,NED,22.7,6-2 6-4,3.0,R32,83.0,6.0,1.0,60.0,36.0,24.0,11.0,9.0,5.0,7.0,5.0,4.0,71.0,44.0,26.0,9.0,9.0,12.0,17.0,87.0,496.0,95.0,433.0
