,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,1st Round,3,Arazi H.,Kratochvil M.,25,46,6.0,3.0,2.0,6.0,7.0,6.0,,,,,2,1,Completed,,,1.6,2.2,1.55,2.2,1.5,2.1,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,12.0,102271.0,4.0,,Hicham Arazi,L,175.0,MAR,28.1,103356.0,,,Michel Kratochvil,R,185.0,SUI,22.7,6-3 2-6 7-6(3),3.0,R32,131.0,3.0,3.0,97.0,55.0,34.0,18.0,14.0,7.0,13.0,1.0,2.0,88.0,56.0,34.0,13.0,15.0,2.0,8.0,25.0,1155.0,46.0,836.0
1,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,1st Round,3,Carlsen K.,Black W.,153,160,7.0,6.0,6.0,7.0,6.0,0.0,,,,,2,1,Completed,,,,,,,,,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,2.0,102202.0,,,Kenneth Carlsen,L,190.0,DEN,28.7,102286.0,,LL,Wayne Black,R,170.0,ZIM,28.1,7-6(4) 6-7(3) 6-0,3.0,R32,145.0,7.0,2.0,95.0,61.0,42.0,20.0,15.0,3.0,6.0,0.0,2.0,114.0,56.0,33.0,28.0,15.0,9.0,15.0,153.0,249.0,160.0,239.0
2,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,1st Round,3,Chela J.I.,Delgado R.,70,92,6.0,1.0,6.0,3.0,,,,,,,2,0,Completed,,,,,,,,,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,7.0,103428.0,,,Juan Ignacio Chela,R,190.0,ARG,22.3,102887.0,,Q,Ramon Delgado,R,185.0,PAR,25.1,6-1 6-3,3.0,R32,67.0,2.0,0.0,40.0,27.0,22.0,8.0,8.0,1.0,2.0,2.0,1.0,57.0,35.0,19.0,7.0,8.0,5.0,10.0,70.0,544.0,92.0,450.0
3,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,1st Round,3,Draper S.,Sa A.,221,85,6.0,1.0,6.0,2.0,,,,,,,2,0,Completed,,,,,,,,,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,3.0,102401.0,,WC,Scott Draper,L,178.0,AUS,27.5,102987.0,,,Andre Sa,R,185.0,BRA,24.6,6-1 6-2,3.0,R32,49.0,2.0,0.0,40.0,29.0,22.0,10.0,8.0,0.0,0.0,0.0,4.0,46.0,27.0,13.0,9.0,7.0,3.0,7.0,221.0,165.0,85.0,481.0
4,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,1st Round,3,Enqvist T.,Rios M.,24,39,6.0,0.0,6.0,3.0,,,,,,,2,0,Completed,,,,,,,,,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,5.0,102358.0,3.0,,Thomas Enqvist,R,190.0,SWE,27.8,102701.0,,,Marcelo Rios,L,175.0,CHI,26.0,6-0 6-3,3.0,R32,52.0,3.0,5.0,58.0,33.0,29.0,9.0,8.0,4.0,4.0,6.0,4.0,43.0,25.0,16.0,5.0,7.0,2.0,6.0,24.0,1165.0,39.0,965.0
5,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,1st Round,3,Golmard J.,Arthurs W.,50,77,6.0,4.0,6.0,0.0,,,,,,,2,0,Completed,,,,,,,,,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,6.0,102259.0,,,Jerome Golmard,L,188.0,FRA,28.3,101885.0,,,Wayne Arthurs,L,190.0,AUS,30.7,6-4 6-0,3.0,R32,60.0,3.0,3.0,48.0,34.0,29.0,6.0,8.0,3.0,3.0,10.0,2.0,49.0,28.0,17.0,9.0,8.0,6.0,10.0,50.0,722.0,77.0,518.0
6,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,1st Round,3,Henman T.,Fromberg R.,9,309,6.0,3.0,6.0,7.0,6.0,0.0,,,,,2,1,Completed,,,,,1.15,4.25,,,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,1.0,102450.0,1.0,,Tim Henman,R,185.0,GBR,27.3,101735.0,,Q,Richard Fromberg,R,196.0,AUS,31.6,6-3 6-7(5) 6-0,3.0,R32,117.0,3.0,0.0,83.0,60.0,42.0,17.0,14.0,4.0,5.0,2.0,5.0,93.0,54.0,39.0,13.0,13.0,5.0,10.0,9.0,2100.0,309.0,104.0
7,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,1st Round,3,Ljubicic I.,Russell M.,37,87,7.0,6.0,7.0,6.0,,,,,,,2,0,Completed,,,,,,,,,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,9.0,103344.0,8.0,,Ivan Ljubicic,R,193.0,CRO,22.7,103188.0,,,Michael Russell,R,173.0,USA,23.6,7-6(2) 7-6(13),3.0,R32,121.0,11.0,4.0,95.0,53.0,42.0,25.0,12.0,6.0,7.0,3.0,4.0,93.0,68.0,52.0,11.0,12.0,5.0,6.0,37.0,982.0,87.0,466.0
8,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,1st Round,3,Llodra M.,Ferreira W.,89,62,6.0,3.0,3.0,6.0,6.0,3.0,,,,,2,1,Completed,,,,,,,,,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,15.0,103566.0,,,Michael Llodra,L,190.0,FRA,21.6,101965.0,,,Wayne Ferreira,R,185.0,RSA,30.2,6-3 3-6 6-3,3.0,R32,96.0,4.0,5.0,80.0,38.0,29.0,22.0,14.0,3.0,6.0,7.0,5.0,89.0,52.0,35.0,16.0,13.0,6.0,10.0,89.0,464.0,62.0,600.0
9,1,Adelaide,AAPT Championships,20011231,International,Outdoor,Hard,1st Round,3,Martin A.,Vinciguerra A.,41,34,6.0,3.0,6.0,4.0,,,,,,,2,0,Completed,,,,,,,,,,,2002-339,Adelaide,Hard,32.0,A,20011231.0,8.0,103252.0,,,Alberto Martin,R,175.0,ESP,23.3,103714.0,7.0,,Andreas Vinciguerra,L,180.0,SWE,20.8,6-3 6-4,3.0,R32,70.0,2.0,5.0,58.0,37.0,28.0,12.0,10.0,3.0,4.0,2.0,1.0,56.0,33.0,21.0,11.0,9.0,0.0,3.0,41.0,933.0,34.0,1025.0
