,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,IWW,IWL,SBW,SBL,B&WW,B&WL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Adelaide,AAPT Championships,20021230,International,Outdoor,Hard,1st Round,3,Davydenko N.,Labadze I.,81.0,93.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,,,,,1.5,2.1,,,1.6,1.95,2003-339,Adelaide,Hard,32.0,A,20021230.0,11.0,103786.0,,,Nikolay Davydenko,R,178.0,RUS,21.5,103789.0,,,Irakli Labadze,L,188.0,GEO,21.5,6-2 7-6(5),3.0,R32,68.0,2.0,3.0,63.0,36.0,29.0,16.0,10.0,3.0,4.0,2.0,5.0,78.0,47.0,34.0,10.0,10.0,7.0,10.0,81.0,487.0,93.0,427.0
1,1,Adelaide,AAPT Championships,20021230,International,Outdoor,Hard,1st Round,3,Kim A.,Savolt A.,238.0,95.0,2.0,6.0,6.0,3.0,6.0,3.0,,,,,2.0,1.0,Completed,,,,,1.75,1.75,,,1.68,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,Adelaide,AAPT Championships,20021230,International,Outdoor,Hard,1st Round,3,Spadea V.,Reid T.,67.0,146.0,3.0,6.0,6.0,3.0,6.0,3.0,,,,,2.0,1.0,Completed,1.364,2.875,,,1.3,2.7,,,1.33,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1,Adelaide,AAPT Championships,20021230,International,Outdoor,Hard,1st Round,3,Vahaly B.,Kennedy A.,102.0,175.0,4.0,6.0,6.0,2.0,6.0,0.0,,,,,2.0,1.0,Completed,,,,,1.35,2.5,,,1.3,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,Adelaide,AAPT Championships,20021230,International,Outdoor,Hard,1st Round,3,Voinea A.,Rochus C.,68.0,143.0,6.0,1.0,4.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,,,,,1.85,1.65,,,1.85,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,Adelaide,AAPT Championships,20021230,International,Outdoor,Hard,1st Round,3,Zabaleta M.,Waske A.,53.0,122.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,,,,,1.55,2.0,,,1.61,1.94,2003-339,Adelaide,Hard,32.0,A,20021230.0,9.0,103151.0,5.0,,Mariano Zabaleta,R,183.0,ARG,24.8,102565.0,,,Alexander Waske,R,188.0,GER,27.7,6-1 6-4,3.0,R32,54.0,6.0,0.0,42.0,25.0,24.0,9.0,9.0,0.0,1.0,4.0,1.0,45.0,24.0,13.0,10.0,8.0,5.0,9.0,53.0,711.0,122.0,327.0
6,1,Adelaide,AAPT Championships,20021231,International,Outdoor,Hard,1st Round,3,Dupuis A.,Beck K.,70.0,117.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.667,2.1,,,1.65,1.85,,,1.69,1.81,2003-339,Adelaide,Hard,32.0,A,20021230.0,15.0,102179.0,,,Antony Dupuis,R,185.0,FRA,29.8,103971.0,,,Karol Beck,R,180.0,SVK,20.7,6-4 6-3,3.0,R32,70.0,9.0,5.0,58.0,33.0,29.0,11.0,9.0,2.0,2.0,5.0,4.0,52.0,33.0,23.0,9.0,10.0,1.0,4.0,70.0,566.0,117.0,341.0
7,1,Adelaide,AAPT Championships,20021231,International,Outdoor,Hard,1st Round,3,Ljubicic I.,Morrison J.,49.0,97.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,2.75,,,1.4,2.3,,,1.27,3.0,2003-339,Adelaide,Hard,32.0,A,20021230.0,12.0,103344.0,4.0,,Ivan Ljubicic,R,193.0,CRO,23.7,103319.0,,,Jeff Morrison,R,185.0,USA,23.9,6-4 6-3,3.0,R32,75.0,3.0,2.0,56.0,25.0,21.0,20.0,10.0,0.0,0.0,4.0,6.0,55.0,26.0,19.0,16.0,9.0,3.0,5.0,49.0,735.0,97.0,406.0
8,1,Adelaide,AAPT Championships,20021231,International,Outdoor,Hard,1st Round,3,Martin A.,Melzer J.,61.0,91.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.667,2.1,,,1.7,1.8,,,1.67,1.85,2003-339,Adelaide,Hard,32.0,A,20021230.0,8.0,103252.0,6.0,,Alberto Martin,R,175.0,ESP,24.3,103781.0,,,Jurgen Melzer,L,183.0,AUT,21.6,6-1 6-3,3.0,R32,64.0,0.0,4.0,62.0,44.0,33.0,9.0,8.0,7.0,7.0,2.0,4.0,48.0,33.0,21.0,4.0,8.0,5.0,9.0,61.0,640.0,91.0,441.0
9,1,Adelaide,AAPT Championships,20021231,International,Outdoor,Hard,1st Round,3,Mirnyi M.,Galvani S.,43.0,126.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.286,3.25,,,1.3,2.7,,,1.15,4.0,2003-339,Adelaide,Hard,32.0,A,20021230.0,16.0,103018.0,2.0,,Max Mirnyi,R,196.0,BLR,25.4,102999.0,,,Stefano Galvani,R,178.0,ITA,25.5,7-6(5) 6-2,3.0,R32,73.0,9.0,1.0,59.0,34.0,29.0,17.0,10.0,0.0,0.0,6.0,3.0,57.0,37.0,27.0,12.0,10.0,0.0,2.0,43.0,810.0,126.0,319.0
10,1,Adelaide,AAPT Championships,20021231,International,Outdoor,Hard,1st Round,3,Parmar A.,Levy H.,170.0,203.0,6.0,7.0,6.0,4.0,6.0,1.0,,,,,2.0,1.0,Completed,1.8,1.909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1,Adelaide,AAPT Championships,20021231,International,Outdoor,Hard,1st Round,3,Verkerk M.,Serra F.,86.0,202.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,,,,,,,,,,,2003-339,Adelaide,Hard,32.0,A,20021230.0,10.0,103280.0,,,Martin Verkerk,R,196.0,NED,24.1,103722.0,,Q,Florent Serra,R,180.0,FRA,21.8,6-3 6-4,3.0,R32,75.0,10.0,2.0,50.0,35.0,30.0,8.0,10.0,0.0,1.0,2.0,2.0,76.0,48.0,31.0,11.0,9.0,2.0,5.0,86.0,468.0,202.0,164.0
12,1,Adelaide,AAPT Championships,20021231,International,Outdoor,Hard,1st Round,3,Vliegen K.,Enqvist T.,164.0,44.0,3.0,6.0,6.0,4.0,6.0,3.0,,,,,2.0,1.0,Completed,,,,,,,,,,,2003-339,Adelaide,Hard,32.0,A,20021230.0,5.0,104019.0,,Q,Kristof Vliegen,R,193.0,BEL,20.5,102358.0,3.0,,Thomas Enqvist,R,190.0,SWE,28.7,3-6 6-4 6-3,3.0,R32,93.0,7.0,4.0,78.0,52.0,37.0,17.0,14.0,2.0,4.0,5.0,4.0,80.0,49.0,36.0,16.0,14.0,0.0,3.0,164.0,222.0,44.0,810.0
13,1,Adelaide,AAPT Championships,20030101,International,Outdoor,Hard,1st Round,3,Gasquet R.,Di Pasquale A.,161.0,98.0,3.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,,,,,1.85,1.65,,,1.81,1.69,2003-339,Adelaide,Hard,32.0,A,20021230.0,7.0,104755.0,,Q,Richard Gasquet,R,185.0,FRA,16.5,103324.0,,,Arnaud Di Pasquale,R,185.0,FRA,23.8,3-6 6-3 6-4,3.0,R32,127.0,5.0,4.0,90.0,45.0,34.0,26.0,14.0,7.0,9.0,9.0,5.0,90.0,47.0,31.0,24.0,14.0,3.0,6.0,161.0,225.0,98.0,398.0
14,1,Adelaide,AAPT Championships,20030101,International,Outdoor,Hard,1st Round,3,Krajicek R.,Draper S.,112.0,137.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.444,2.625,,,1.45,2.2,,,1.33,2.7,2003-339,Adelaide,Hard,32.0,A,20021230.0,2.0,101990.0,,,Richard Krajicek,R,196.0,NED,31.0,102401.0,,WC,Scott Draper,L,178.0,AUS,28.5,7-6(4) 6-4,3.0,R32,60.0,16.0,3.0,66.0,40.0,32.0,20.0,11.0,3.0,3.0,3.0,0.0,56.0,39.0,32.0,12.0,11.0,1.0,2.0,112.0,350.0,137.0,279.0
15,1,Adelaide,AAPT Championships,20030101,International,Outdoor,Hard,1st Round,3,Squillari F.,Ferreira W.,79.0,39.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.5,1.5,,,2.1,1.5,,,2.4,1.4,2003-339,Adelaide,Hard,32.0,A,20021230.0,1.0,102644.0,,,Franco Squillari,L,183.0,ARG,27.3,101965.0,1.0,,Wayne Ferreira,R,185.0,RSA,31.2,7-6(4) 6-2,3.0,R32,90.0,5.0,4.0,71.0,33.0,25.0,21.0,10.0,6.0,7.0,6.0,2.0,81.0,41.0,29.0,17.0,10.0,4.0,7.0,79.0,494.0,39.0,875.0
16,1,Adelaide,AAPT Championships,20030101,International,Outdoor,Hard,2nd Round,3,Davydenko N.,Ljubicic I.,81.0,49.0,4.0,6.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,2.375,1.533,,,2.1,1.5,,,2.15,1.5,2003-339,Adelaide,Hard,32.0,A,20021230.0,22.0,103786.0,,,Nikolay Davydenko,R,178.0,RUS,21.5,103344.0,4.0,,Ivan Ljubicic,R,193.0,CRO,23.7,4-6 6-4 7-6(9),3.0,R16,158.0,6.0,5.0,102.0,55.0,42.0,21.0,16.0,6.0,11.0,10.0,8.0,103.0,53.0,40.0,20.0,16.0,5.0,10.0,81.0,487.0,49.0,735.0
17,1,Adelaide,AAPT Championships,20030101,International,Outdoor,Hard,2nd Round,3,Dupuis A.,Mirnyi M.,70.0,43.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.75,1.4,,,2.2,1.45,,,2.3,1.42,2003-339,Adelaide,Hard,32.0,A,20021230.0,24.0,102179.0,,,Antony Dupuis,R,185.0,FRA,29.8,103018.0,2.0,,Max Mirnyi,R,196.0,BLR,25.4,7-6(3) 6-3,3.0,R16,76.0,8.0,1.0,60.0,36.0,32.0,17.0,11.0,0.0,0.0,9.0,1.0,62.0,37.0,31.0,13.0,10.0,2.0,3.0,70.0,566.0,43.0,810.0
18,1,Adelaide,AAPT Championships,20030101,International,Outdoor,Hard,2nd Round,3,Voinea A.,Kim A.,68.0,238.0,6.0,4.0,6.0,1.0,,,,,,,2.0,0.0,Completed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1,Adelaide,AAPT Championships,20030101,International,Outdoor,Hard,2nd Round,3,Zabaleta M.,Verkerk M.,53.0,86.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.667,2.1,,,1.55,2.0,,,1.56,2.0,2003-339,Adelaide,Hard,32.0,A,20021230.0,21.0,103151.0,5.0,,Mariano Zabaleta,R,183.0,ARG,24.8,103280.0,,,Martin Verkerk,R,196.0,NED,24.1,6-4 6-4,3.0,R16,67.0,3.0,1.0,46.0,29.0,27.0,10.0,10.0,0.0,1.0,4.0,3.0,61.0,38.0,25.0,10.0,10.0,1.0,4.0,53.0,711.0,86.0,468.0
20,1,Adelaide,AAPT Championships,20030201,International,Outdoor,Hard,2nd Round,3,Krajicek R.,Squillari F.,112.0,79.0,6.0,4.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,,,,,,,,,2003-339,Adelaide,Hard,32.0,A,20021230.0,17.0,101990.0,,,Richard Krajicek,R,196.0,NED,31.0,102644.0,,,Franco Squillari,L,183.0,ARG,27.3,6-4 6-3,3.0,R16,68.0,10.0,6.0,63.0,33.0,28.0,16.0,10.0,3.0,3.0,1.0,4.0,52.0,24.0,20.0,14.0,9.0,0.0,2.0,112.0,350.0,79.0,494.0
21,1,Adelaide,AAPT Championships,20030201,International,Outdoor,Hard,2nd Round,3,Martin A.,Gasquet R.,61.0,161.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.5,2.5,,,1.45,2.2,,,1.42,2.3,2003-339,Adelaide,Hard,32.0,A,20021230.0,20.0,103252.0,6.0,,Alberto Martin,R,175.0,ESP,24.3,104755.0,,Q,Richard Gasquet,R,185.0,FRA,16.5,7-5 6-1,3.0,R16,68.0,3.0,5.0,52.0,31.0,25.0,11.0,9.0,3.0,4.0,4.0,5.0,63.0,34.0,19.0,14.0,10.0,5.0,10.0,61.0,640.0,161.0,225.0
22,1,Adelaide,AAPT Championships,20030201,International,Outdoor,Hard,2nd Round,3,Vahaly B.,Spadea V.,102.0,67.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.375,1.533,,,2.3,1.4,,,2.18,1.47,2003-339,Adelaide,Hard,32.0,A,20021230.0,18.0,103408.0,,,Brian Vahaly,R,183.0,USA,23.4,102434.0,8.0,,Vincent Spadea,R,183.0,USA,28.4,7-6(1) 6-2,3.0,R16,85.0,0.0,3.0,64.0,46.0,33.0,8.0,10.0,1.0,3.0,2.0,5.0,68.0,41.0,25.0,10.0,10.0,2.0,6.0,102.0,386.0,67.0,586.0
23,1,Adelaide,AAPT Championships,20030201,International,Outdoor,Hard,2nd Round,3,Vliegen K.,Parmar A.,164.0,170.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.909,1.8,,,1.9,1.6,,,1.75,1.75,2003-339,Adelaide,Hard,32.0,A,20021230.0,19.0,104019.0,,Q,Kristof Vliegen,R,193.0,BEL,20.5,103157.0,,Q,Arvind Parmar,R,193.0,GBR,24.7,6-2 6-2,3.0,R16,51.0,3.0,0.0,43.0,29.0,21.0,12.0,8.0,0.0,0.0,0.0,3.0,47.0,26.0,16.0,9.0,8.0,2.0,6.0,164.0,222.0,170.0,214.0
24,1,Adelaide,AAPT Championships,20030301,International,Outdoor,Hard,Quarterfinals,3,Davydenko N.,Zabaleta M.,81.0,53.0,7.0,6.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.8,1.909,,,1.85,1.65,,,1.83,1.68,2003-339,Adelaide,Hard,32.0,A,20021230.0,27.0,103786.0,,,Nikolay Davydenko,R,178.0,RUS,21.5,103151.0,5.0,,Mariano Zabaleta,R,183.0,ARG,24.8,7-6(3) 6-1,3.0,QF,91.0,2.0,4.0,62.0,36.0,25.0,17.0,9.0,2.0,2.0,0.0,5.0,72.0,39.0,23.0,15.0,10.0,5.0,8.0,81.0,487.0,53.0,711.0
25,1,Adelaide,AAPT Championships,20030301,International,Outdoor,Hard,Quarterfinals,3,Krajicek R.,Vahaly B.,112.0,102.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.286,3.5,,,1.25,3.0,,,1.17,3.7,2003-339,Adelaide,Hard,32.0,A,20021230.0,25.0,101990.0,,,Richard Krajicek,R,196.0,NED,31.0,103408.0,,,Brian Vahaly,R,183.0,USA,23.4,6-1 6-3,3.0,QF,57.0,12.0,3.0,53.0,25.0,23.0,12.0,8.0,1.0,1.0,0.0,2.0,48.0,36.0,20.0,5.0,8.0,2.0,6.0,112.0,350.0,102.0,386.0
26,1,Adelaide,AAPT Championships,20030301,International,Outdoor,Hard,Quarterfinals,3,Vliegen K.,Martin A.,164.0,61.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.5,1.5,,,2.2,1.45,,,2.5,1.36,2003-339,Adelaide,Hard,32.0,A,20021230.0,26.0,104019.0,,Q,Kristof Vliegen,R,193.0,BEL,20.5,103252.0,6.0,,Alberto Martin,R,175.0,ESP,24.3,6-3 6-4,3.0,QF,69.0,2.0,2.0,57.0,37.0,26.0,14.0,10.0,1.0,2.0,0.0,6.0,55.0,32.0,22.0,10.0,9.0,2.0,5.0,164.0,222.0,61.0,640.0
27,1,Adelaide,AAPT Championships,20030301,International,Outdoor,Hard,Quarterfinals,3,Voinea A.,Dupuis A.,68.0,70.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.667,2.1,,,1.75,1.75,,,1.67,1.85,2003-339,Adelaide,Hard,32.0,A,20021230.0,28.0,102437.0,,,Adrian Voinea,R,185.0,ROU,28.3,102179.0,,,Antony Dupuis,R,185.0,FRA,29.8,7-6(6) 6-4,3.0,QF,90.0,1.0,4.0,73.0,48.0,38.0,16.0,11.0,1.0,2.0,12.0,3.0,73.0,37.0,26.0,23.0,11.0,2.0,4.0,68.0,579.0,70.0,566.0
28,1,Adelaide,AAPT Championships,20030401,International,Outdoor,Hard,Semifinals,3,Davydenko N.,Voinea A.,81.0,68.0,6.0,2.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.727,2.0,,,1.65,1.85,,,1.65,1.9,2003-339,Adelaide,Hard,32.0,A,20021230.0,30.0,103786.0,,,Nikolay Davydenko,R,178.0,RUS,21.5,102437.0,,,Adrian Voinea,R,185.0,ROU,28.3,6-2 6-1,3.0,SF,57.0,6.0,0.0,46.0,32.0,20.0,9.0,7.0,1.0,2.0,1.0,3.0,54.0,27.0,11.0,9.0,8.0,3.0,9.0,81.0,487.0,68.0,579.0
29,1,Adelaide,AAPT Championships,20030401,International,Outdoor,Hard,Semifinals,3,Vliegen K.,Krajicek R.,164.0,112.0,7.0,6.0,4.0,6.0,6.0,3.0,,,,,2.0,1.0,Completed,3.75,1.25,,,2.7,1.3,,,3.3,1.22,2003-339,Adelaide,Hard,32.0,A,20021230.0,29.0,104019.0,,Q,Kristof Vliegen,R,193.0,BEL,20.5,101990.0,,,Richard Krajicek,R,196.0,NED,31.0,7-6(1) 4-6 6-3,3.0,SF,111.0,6.0,3.0,109.0,62.0,47.0,26.0,16.0,5.0,6.0,24.0,7.0,94.0,44.0,38.0,27.0,15.0,2.0,3.0,164.0,222.0,112.0,350.0
30,1,Adelaide,AAPT Championships,20030501,International,Outdoor,Hard,The Final,3,Davydenko N.,Vliegen K.,81.0,164.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.571,2.25,,,1.6,1.9,,,1.5,2.17,2003-339,Adelaide,Hard,32.0,A,20021230.0,31.0,103786.0,,,Nikolay Davydenko,R,178.0,RUS,21.5,104019.0,,Q,Kristof Vliegen,R,193.0,BEL,20.5,6-2 7-6(3),3.0,F,76.0,0.0,1.0,70.0,53.0,34.0,13.0,10.0,2.0,3.0,5.0,2.0,60.0,41.0,30.0,7.0,10.0,1.0,4.0,81.0,487.0,164.0,222.0
31,2,Chennai,TATA Open,20021230,International,Outdoor,Hard,1st Round,3,Chela J.I.,Paes L.,23.0,998.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.125,5.5,,,1.2,3.3,,,1.18,3.5,2003-891,Chennai,Hard,32.0,A,20021230.0,5.0,103428.0,4.0,,Juan Ignacio Chela,R,190.0,ARG,23.3,102233.0,,WC,Leander Paes,R,178.0,IND,29.5,7-6(5) 7-5,3.0,R32,108.0,4.0,6.0,85.0,45.0,33.0,20.0,12.0,4.0,7.0,0.0,8.0,101.0,59.0,36.0,21.0,12.0,8.0,12.0,23.0,1240.0,998.0,5.0
