,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Adelaide,AAPT Championships,20040501,International,Outdoor,Hard,1st Round,3,Spadea V.,Melzer J.,29.0,79.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,,,1.4,2.85,1.48,2.53,1.45,2.2,1.465,2.9,2004-339,Adelaide,Hard,32.0,A,20040105.0,16.0,102434.0,2.0,,Vincent Spadea,R,183.0,USA,29.4,103781.0,,,Jurgen Melzer,L,183.0,AUT,22.6,7-6(4) 6-2,3.0,R32,84.0,3.0,1.0,68.0,47.0,33.0,12.0,10.0,4.0,6.0,5.0,5.0,72.0,36.0,24.0,15.0,10.0,5.0,9.0,29.0,1100.0,79.0,453.0
1,1,Adelaide,AAPT Championships,20040501,International,Outdoor,Hard,1st Round,3,Dent T.,Horna L.,33.0,64.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.16,4.5,1.22,4.1,1.2,4.45,1.2,3.3,1.241,4.55,2004-339,Adelaide,Hard,32.0,A,20040105.0,9.0,103758.0,5.0,,Taylor Dent,R,188.0,USA,22.6,103632.0,,,Luis Horna,R,180.0,PER,23.3,6-2 6-3,3.0,R32,65.0,8.0,6.0,51.0,22.0,17.0,20.0,9.0,2.0,2.0,2.0,2.0,54.0,40.0,27.0,3.0,8.0,2.0,5.0,33.0,1045.0,64.0,548.0
2,1,Adelaide,AAPT Championships,20040501,International,Outdoor,Hard,1st Round,3,Martin A.,Ancic M.,54.0,74.0,6.0,3.0,6.0,7.0,7,6.0,,,,,2.0,1.0,Completed,2.0,1.72,2.15,1.67,,,2.0,1.55,2.17,1.752,2004-339,Adelaide,Hard,32.0,A,20040105.0,8.0,103252.0,7.0,,Alberto Martin,R,175.0,ESP,25.3,104339.0,,,Mario Ancic,R,196.0,CRO,19.7,6-3 6-7(6) 7-6(3),3.0,R32,142.0,2.0,5.0,113.0,74.0,50.0,20.0,16.0,3.0,6.0,12.0,4.0,110.0,59.0,44.0,20.0,17.0,3.0,8.0,54.0,667.0,74.0,475.0
3,1,Adelaide,AAPT Championships,20040501,International,Outdoor,Hard,1st Round,3,Beck K.,Vahaly B.,66.0,75.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.83,1.83,1.7,2.1,,,,,1.73,2.21,2004-339,Adelaide,Hard,32.0,A,20040105.0,10.0,103971.0,,,Karol Beck,R,180.0,SVK,21.7,103408.0,,,Brian Vahaly,R,183.0,USA,24.4,6-2 6-2,3.0,R32,63.0,4.0,1.0,46.0,25.0,19.0,14.0,8.0,0.0,0.0,0.0,3.0,50.0,27.0,13.0,10.0,8.0,1.0,5.0,66.0,537.0,75.0,470.0
4,1,Adelaide,AAPT Championships,20040501,International,Outdoor,Hard,1st Round,3,Nieminen J.,Moodie W.,36.0,82.0,4.0,6.0,7.0,6.0,7,5.0,,,,,2.0,1.0,Completed,1.4,2.75,1.4,2.85,1.5,2.45,1.35,2.5,1.459,2.93,2004-339,Adelaide,Hard,32.0,A,20040105.0,4.0,103813.0,6.0,,Jarkko Nieminen,L,185.0,FIN,22.4,103325.0,,,Wesley Moodie,R,196.0,RSA,24.8,4-6 7-6(6) 7-5,3.0,R32,131.0,1.0,2.0,100.0,59.0,42.0,28.0,17.0,5.0,7.0,15.0,3.0,107.0,78.0,56.0,15.0,17.0,6.0,8.0,36.0,980.0,82.0,445.0
5,1,Adelaide,AAPT Championships,20040501,International,Outdoor,Hard,1st Round,3,Johansson T.,Rochus C.,,84.0,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,,,1.6,2.25,1.8,1.95,1.75,1.75,1.758,2.16,2004-339,Adelaide,Hard,32.0,A,20040105.0,11.0,102563.0,,WC,Thomas Johansson,R,180.0,SWE,28.7,103294.0,,,Christophe Rochus,R,170.0,BEL,25.0,6-1 6-3,3.0,R32,53.0,5.0,0.0,40.0,21.0,19.0,14.0,8.0,0.0,0.0,3.0,3.0,45.0,23.0,15.0,8.0,8.0,3.0,7.0,,,84.0,436.0
6,1,Adelaide,AAPT Championships,20040501,International,Outdoor,Hard,1st Round,3,Arthurs W.,Karlovic I.,117.0,73.0,6.0,7.0,7.0,6.0,7,5.0,,,,,2.0,1.0,Completed,1.8,1.909,1.8,1.95,1.9,1.85,1.75,1.75,1.862,2.0,2004-339,Adelaide,Hard,32.0,A,20040105.0,15.0,101885.0,,WC,Wayne Arthurs,L,190.0,AUS,32.8,103333.0,,,Ivo Karlovic,R,208.0,CRO,24.8,6-7(5) 7-6(4) 7-5,3.0,R32,141.0,14.0,8.0,114.0,65.0,56.0,30.0,18.0,3.0,3.0,24.0,7.0,129.0,88.0,75.0,13.0,18.0,4.0,5.0,117.0,350.0,73.0,489.0
7,1,Adelaide,AAPT Championships,20040601,International,Outdoor,Hard,1st Round,3,Sanguinetti D.,Elsner D.,65.0,152.0,6.0,1.0,6.0,1.0,,,,,,,2.0,0.0,Completed,1.8,1.9,,,1.75,2.0,1.6,1.9,1.699,2.25,2004-339,Adelaide,Hard,32.0,A,20040105.0,3.0,102106.0,,,Davide Sanguinetti,R,188.0,ITA,31.3,103305.0,,Q,Daniel Elsner,R,183.0,GER,25.0,6-1 6-1,3.0,R32,42.0,4.0,1.0,41.0,27.0,19.0,8.0,7.0,4.0,5.0,1.0,5.0,38.0,18.0,6.0,5.0,7.0,4.0,10.0,65.0,542.0,152.0,250.0
8,1,Adelaide,AAPT Championships,20040601,International,Outdoor,Hard,1st Round,3,Lapentti N.,Labadze I.,57.0,72.0,7.0,5.0,6.0,1.0,,,,,,,2.0,0.0,Completed,,,1.5,2.5,1.5,2.45,1.5,2.1,1.599,2.49,2004-339,Adelaide,Hard,32.0,A,20040105.0,13.0,102839.0,8.0,,Nicolas Lapentti,R,188.0,ECU,27.3,103789.0,,,Irakli Labadze,L,188.0,GEO,22.5,7-5 6-1,3.0,R32,61.0,5.0,3.0,53.0,28.0,24.0,17.0,10.0,1.0,1.0,1.0,3.0,49.0,38.0,25.0,6.0,9.0,2.0,5.0,57.0,628.0,72.0,503.0
9,1,Adelaide,AAPT Championships,20040601,International,Outdoor,Hard,1st Round,3,Hrbaty D.,Benneteau J.,61.0,138.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.533,2.375,1.55,2.4,1.65,2.15,1.5,2.1,1.592,2.51,2004-339,Adelaide,Hard,32.0,A,20040105.0,7.0,103103.0,,,Dominik Hrbaty,R,183.0,SVK,26.0,103898.0,,Q,Julien Benneteau,R,185.0,FRA,22.0,6-1 6-4,3.0,R32,55.0,7.0,0.0,49.0,31.0,23.0,15.0,9.0,2.0,2.0,3.0,4.0,52.0,32.0,25.0,5.0,8.0,3.0,6.0,61.0,584.0,138.0,268.0
