,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,CBW,CBL,EXW,EXL,IWW,IWL,PSW,PSL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Adelaide,Next Generation Hardcourts,20050301,International,Outdoor,Hard,1st Round,3,Saulnier C.,Baccanello P.,53,324.0,,,6.0,2.0,7,6,,,,,,,2.0,0.0,Completed,1.286,3.25,1.25,3.7,1.3,3.35,1.3,2.7,1.305,3.78,2005-339,Adelaide,Hard,32.0,A,20050103.0,11.0,102642.0,,,Cyril Saulnier,R,190.0,FRA,29.3,103385.0,,WC,Paul Baccanello,R,183.0,AUS,25.5,6-2 7-6(3),3.0,R32,84.0,9.0,1.0,55.0,35.0,30.0,14.0,10.0,0.0,0.0,7.0,1.0,67.0,42.0,26.0,15.0,10.0,3.0,5.0,53.0,748.0,324.0,101.0
1,1,Adelaide,Next Generation Hardcourts,20050301,International,Outdoor,Hard,1st Round,3,Enqvist T.,Sluiter R.,72,82.0,,,6.0,3.0,6,1,,,,,,,2.0,0.0,Completed,1.833,1.833,1.85,1.9,1.8,1.95,1.75,1.75,1.99,1.84,2005-339,Adelaide,Hard,32.0,A,20050103.0,14.0,102358.0,,,Thomas Enqvist,R,190.0,SWE,30.8,103171.0,,,Raemon Sluiter,R,185.0,NED,26.7,6-3 6-1,3.0,R32,67.0,8.0,0.0,43.0,27.0,22.0,12.0,8.0,0.0,0.0,12.0,11.0,78.0,40.0,30.0,9.0,8.0,9.0,13.0,72.0,538.0,82.0,482.0
2,1,Adelaide,Next Generation Hardcourts,20050301,International,Outdoor,Hard,1st Round,3,Melzer J.,Berdych T.,39,45.0,,,6.0,4.0,4,6,7,6,,,,,2.0,1.0,Completed,1.8,1.909,1.75,2.0,1.9,1.85,1.85,1.65,1.901,1.917,2005-339,Adelaide,Hard,32.0,A,20050103.0,8.0,103781.0,8.0,,Jurgen Melzer,L,183.0,AUT,23.6,104607.0,,,Tomas Berdych,R,196.0,CZE,19.2,6-4 4-6 6-3,3.0,R32,122.0,6.0,3.0,111.0,63.0,44.0,24.0,15.0,5.0,8.0,11.0,8.0,99.0,60.0,40.0,17.0,14.0,12.0,16.0,39.0,920.0,45.0,863.0
3,1,Adelaide,Next Generation Hardcourts,20050301,International,Outdoor,Hard,1st Round,3,Rochus O.,Dupuis A.,66,79.0,,,6.0,3.0,3,6,6,1,,,,,2.0,1.0,Completed,1.667,2.1,1.58,2.3,1.6,2.25,1.55,2.0,1.621,2.41,2005-339,Adelaide,Hard,32.0,A,20050103.0,10.0,103694.0,,,Olivier Rochus,R,168.0,BEL,23.9,102179.0,,,Antony Dupuis,R,185.0,FRA,31.8,3-6 6-3 6-1,3.0,R32,95.0,3.0,3.0,64.0,37.0,29.0,16.0,12.0,3.0,5.0,10.0,3.0,95.0,62.0,41.0,10.0,13.0,7.0,12.0,66.0,585.0,79.0,503.0
4,1,Adelaide,Next Generation Hardcourts,20050301,International,Outdoor,Hard,1st Round,3,Mayer F.,Arthurs W.,35,101.0,,,6.0,4.0,3,6,7,5,,,,,2.0,1.0,Completed,1.615,2.2,1.75,2.0,1.8,1.95,1.55,2.0,1.787,2.07,2005-339,Adelaide,Hard,32.0,A,20050103.0,13.0,104252.0,7.0,,Florian Mayer,R,190.0,GER,21.2,101885.0,,,Wayne Arthurs,L,190.0,AUS,33.7,6-4 3-6 7-5,3.0,R32,112.0,6.0,4.0,96.0,55.0,42.0,20.0,15.0,7.0,9.0,17.0,2.0,93.0,48.0,40.0,22.0,16.0,3.0,6.0,35.0,939.0,101.0,433.0
5,1,Adelaide,Next Generation Hardcourts,20050301,International,Outdoor,Hard,1st Round,3,Kiefer N.,Schalken S.,21,57.0,,,6.0,2.0,2,1,,,,,,,1.0,0.0,Retired,1.333,3.0,1.36,3.0,1.48,2.53,1.4,2.3,1.408,3.1,2005-339,Adelaide,Hard,32.0,A,20050103.0,12.0,103017.0,3.0,,Nicolas Kiefer,R,183.0,GER,27.4,102854.0,,,Sjeng Schalken,R,193.0,NED,28.3,6-2 4-6 6-3,3.0,R32,131.0,5.0,3.0,80.0,47.0,29.0,14.0,14.0,4.0,10.0,0.0,2.0,91.0,65.0,28.0,14.0,13.0,10.0,18.0,21.0,1240.0,57.0,705.0
6,1,Adelaide,Next Generation Hardcourts,20050401,International,Outdoor,Hard,1st Round,3,Malisse X.,Martin A.,48,68.0,,,6.0,2.0,7,6,,,,,,,2.0,0.0,Completed,1.5,2.5,1.57,2.35,1.45,2.6,1.45,2.2,1.575,2.54,2005-339,Adelaide,Hard,32.0,A,20050103.0,15.0,103598.0,,,Xavier Malisse,R,185.0,BEL,24.4,103252.0,,,Alberto Martin,R,175.0,ESP,26.3,6-2 7-6(1),3.0,R32,92.0,11.0,4.0,69.0,40.0,31.0,16.0,10.0,2.0,3.0,2.0,5.0,62.0,35.0,27.0,10.0,10.0,1.0,4.0,48.0,798.0,68.0,580.0
7,1,Adelaide,Next Generation Hardcourts,20050401,International,Outdoor,Hard,1st Round,3,Benneteau J.,Starace P.,65,76.0,,,6.0,3.0,6,4,,,,,,,2.0,0.0,Completed,1.533,2.375,1.48,2.6,1.6,2.25,1.6,1.9,1.549,2.62,2005-339,Adelaide,Hard,32.0,A,20050103.0,3.0,103898.0,,,Julien Benneteau,R,185.0,FRA,23.0,103808.0,,,Potito Starace,R,188.0,ITA,23.4,6-3 6-4,3.0,R32,72.0,1.0,0.0,64.0,48.0,32.0,7.0,10.0,2.0,5.0,3.0,4.0,49.0,40.0,20.0,3.0,9.0,4.0,9.0,65.0,593.0,76.0,522.0
8,1,Adelaide,Next Generation Hardcourts,20050401,International,Outdoor,Hard,1st Round,3,Stepanek R.,Kohlschreiber P.,33,88.0,,,6.0,3.0,6,4,,,,,,,2.0,0.0,Completed,1.4,2.75,1.4,2.85,1.4,2.85,1.35,2.5,1.435,3.0,2005-339,Adelaide,Hard,32.0,A,20050103.0,9.0,103285.0,6.0,,Radek Stepanek,R,185.0,CZE,26.1,104259.0,,,Philipp Kohlschreiber,R,178.0,GER,21.2,6-3 6-4,3.0,R32,84.0,2.0,3.0,49.0,25.0,21.0,12.0,10.0,0.0,2.0,0.0,4.0,70.0,51.0,32.0,5.0,9.0,4.0,8.0,33.0,950.0,88.0,466.0
9,1,Adelaide,Next Generation Hardcourts,20050401,International,Outdoor,Hard,1st Round,3,Dent T.,Ginepri R.,32,63.0,,,6.0,1.0,2,6,6,2,,,,,2.0,1.0,Completed,1.667,2.1,1.7,2.1,1.75,2.0,1.6,1.9,1.719,2.19,2005-339,Adelaide,Hard,32.0,A,20050103.0,4.0,103758.0,5.0,,Taylor Dent,R,188.0,USA,23.6,104068.0,,,Robby Ginepri,R,183.0,USA,22.2,6-1 2-6 6-2,3.0,R32,96.0,3.0,9.0,80.0,42.0,32.0,18.0,11.0,8.0,10.0,0.0,6.0,81.0,51.0,29.0,11.0,12.0,9.0,14.0,32.0,955.0,63.0,625.0
