,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Adelaide,Next Generation Adelaide International,20071231,International,Outdoor,Hard,1st Round,3,Querrey S.,Darcis S.,63.0,86.0,573.0,474.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.53,2.37,1.63,2.2,1.533,2.375,1.667,2.4,1.6,2.3,2008-339,Adelaide,Hard,32.0,A,20071231.0,14.0,105023.0,,,Sam Querrey,R,198.0,USA,20.2,104327.0,,,Steve Darcis,R,178.0,BEL,23.8,7-5 6-4,3.0,R32,80.0,11.0,2.0,61.0,32.0,26.0,14.0,11.0,1.0,3.0,0.0,6.0,77.0,55.0,34.0,10.0,11.0,7.0,11.0,63.0,573.0,86.0,474.0
1,1,Adelaide,Next Generation Adelaide International,20071231,International,Outdoor,Hard,1st Round,3,Sirianni J.,Stepanek R.,195.0,30.0,218.0,930.0,7.0,6.0,4.0,3.0,,,,,,,1.0,0.0,Retired,6.5,1.1,5.5,1.13,5.5,1.125,5.94,1.184,6.3,1.11,2008-339,Adelaide,Hard,32.0,A,20071231.0,13.0,102512.0,,WC,Joseph Sirianni,R,175.0,AUS,32.9,103285.0,5.0,,Radek Stepanek,R,185.0,CZE,29.0,7-6(3) 4-3 RET,3.0,R32,99.0,8.0,2.0,67.0,35.0,27.0,17.0,9.0,3.0,4.0,8.0,3.0,61.0,35.0,25.0,16.0,10.0,3.0,5.0,195.0,218.0,30.0,930.0
2,1,Adelaide,Next Generation Adelaide International,20071231,International,Outdoor,Hard,1st Round,3,Russell M.,Del Potro J.M.,82.0,44.0,481.0,690.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,3.75,1.25,3.75,1.25,3.4,1.3,3.55,1.364,3.4,1.3,2008-339,Adelaide,Hard,32.0,A,20071231.0,9.0,103188.0,,,Michael Russell,R,173.0,USA,29.6,105223.0,7.0,,Juan Martin del Potro,R,198.0,ARG,19.2,6-3 6-3,3.0,R32,92.0,6.0,0.0,64.0,48.0,34.0,8.0,9.0,5.0,6.0,7.0,9.0,66.0,33.0,20.0,13.0,9.0,9.0,13.0,82.0,481.0,44.0,690.0
3,1,Adelaide,Next Generation Adelaide International,20071231,International,Outdoor,Hard,1st Round,3,Becker B.,Smeets R.,84.0,150.0,476.0,286.0,3.0,6.0,6.0,4.0,6.0,2.0,,,,,2.0,1.0,Completed,1.4,2.75,1.4,2.85,1.4,2.75,1.538,2.76,1.4,2.85,2008-339,Adelaide,Hard,32.0,A,20071231.0,10.0,103794.0,,,Benjamin Becker,R,178.0,GER,26.5,104635.0,,WC,Robert Smeets,L,188.0,AUS,22.1,3-6 6-4 6-2,3.0,R32,107.0,11.0,4.0,80.0,38.0,31.0,24.0,13.0,1.0,2.0,11.0,6.0,90.0,53.0,35.0,21.0,14.0,8.0,11.0,84.0,476.0,150.0,286.0
4,1,Adelaide,Next Generation Adelaide International,20071231,International,Outdoor,Hard,1st Round,3,Zverev M.,Mayer F.,88.0,55.0,468.0,611.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.72,2.0,1.75,2.0,1.909,1.8,1.893,2.02,1.92,1.84,2008-339,Adelaide,Hard,32.0,A,20071231.0,7.0,104999.0,,,Mischa Zverev,L,190.0,GER,20.3,104252.0,,,Florian Mayer,R,190.0,GER,24.2,6-3 6-3,3.0,R32,56.0,2.0,0.0,50.0,29.0,26.0,11.0,9.0,0.0,0.0,0.0,4.0,51.0,32.0,20.0,9.0,9.0,0.0,3.0,88.0,468.0,55.0,611.0
5,1,Adelaide,Next Generation Adelaide International,20071231,International,Outdoor,Hard,1st Round,3,Llodra M.,Simon G.,93.0,29.0,460.0,955.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,2.5,1.5,2.5,1.5,2.375,1.533,2.34,1.694,2.4,1.54,2008-339,Adelaide,Hard,32.0,A,20071231.0,12.0,103566.0,,,Michael Llodra,L,190.0,FRA,27.6,104468.0,4.0,,Gilles Simon,R,183.0,FRA,23.0,7-6(3) 6-3,3.0,R32,89.0,1.0,1.0,66.0,41.0,33.0,18.0,11.0,3.0,4.0,7.0,4.0,72.0,44.0,32.0,13.0,10.0,4.0,6.0,93.0,460.0,29.0,955.0
6,1,Adelaide,Next Generation Adelaide International,20080101,International,Outdoor,Hard,1st Round,3,Mathieu P.H.,Benneteau J.,25.0,68.0,1320.0,540.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.44,2.67,1.5,2.5,1.538,2.76,1.52,2.45,2008-339,Adelaide,Hard,32.0,A,20071231.0,16.0,103908.0,2.0,,Paul Henri Mathieu,R,185.0,FRA,25.9,103898.0,,,Julien Benneteau,R,185.0,FRA,26.0,7-6(2) 7-5,3.0,R32,141.0,8.0,3.0,94.0,49.0,36.0,22.0,12.0,8.0,11.0,7.0,5.0,84.0,51.0,33.0,14.0,12.0,5.0,9.0,25.0,1320.0,68.0,540.0
7,1,Adelaide,Next Generation Adelaide International,20080101,International,Outdoor,Hard,1st Round,3,Korolev E.,Jones A.,80.0,131.0,487.0,338.0,6.0,2.0,7.0,6.0,,,,,,,2.0,0.0,Completed,,,,,,,,,,,2008-339,Adelaide,Hard,32.0,A,20071231.0,11.0,105095.0,,,Evgeny Korolev,R,185.0,KAZ,19.8,103553.0,,LL,Alun Jones,R,180.0,AUS,27.6,6-2 7-6(7),3.0,R32,82.0,7.0,0.0,65.0,36.0,31.0,16.0,10.0,3.0,3.0,4.0,2.0,67.0,49.0,31.0,12.0,10.0,3.0,5.0,80.0,487.0,131.0,338.0
8,1,Adelaide,Next Generation Adelaide International,20080101,International,Outdoor,Hard,1st Round,3,Guccione C.,Odesnik W.,91.0,126.0,462.0,357.0,7.0,5.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.57,2.25,1.6,2.3,1.571,2.25,1.592,2.59,1.67,2.15,2008-339,Adelaide,Hard,32.0,A,20071231.0,15.0,104589.0,,WC,Chris Guccione,L,201.0,AUS,22.4,104639.0,,Q,Wayne Odesnik,L,180.0,USA,22.1,7-5 7-6(5),3.0,R32,86.0,23.0,4.0,72.0,40.0,35.0,21.0,12.0,2.0,2.0,5.0,1.0,74.0,43.0,31.0,23.0,12.0,4.0,5.0,91.0,462.0,126.0,357.0
9,1,Adelaide,Next Generation Adelaide International,20080101,International,Outdoor,Hard,1st Round,3,Nieminen J.,Klec I.,27.0,224.0,995.0,184.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.16,4.5,1.2,4.25,1.167,4.5,1.2,5.5,1.18,4.6,2008-339,Adelaide,Hard,32.0,A,20071231.0,5.0,103813.0,3.0,,Jarkko Nieminen,L,185.0,FIN,26.4,103657.0,,Q,Ivo Klec,R,183.0,SVK,27.0,6-2 6-4,3.0,R32,66.0,1.0,1.0,48.0,34.0,24.0,10.0,9.0,0.0,1.0,3.0,2.0,65.0,40.0,25.0,9.0,9.0,1.0,5.0,27.0,995.0,224.0,184.0
