,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,SJW,SJL,UBW,UBL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Brisbane,Brisbane International,20090401,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Gicquel M.,23,50.0,2320,1428.0,4.0,6.0,6.0,2.0,6.0,2.0,,,,,2.0,1.0,Completed,1.25,3.75,1.27,3.81,1.28,3.5,1.25,3.5,1.27,3.6,2009-339,Brisbane,Hard,32.0,A,20090104.0,13.0,104755.0,7.0,,Richard Gasquet,R,185.0,FRA,22.5,102967.0,,,Marc Gicquel,R,188.0,FRA,31.7,4-6 6-2 6-2,3.0,R32,133.0,6.0,5.0,91.0,42.0,29.0,26.0,13.0,3.0,5.0,7.0,6.0,100.0,45.0,30.0,23.0,13.0,13.0,18.0,23.0,2320.0,50.0,1428.0
1,1,Brisbane,Brisbane International,20090401,ATP250,Outdoor,Hard,1st Round,3,Dent T.,Darcis S.,865,59.0,28,1362.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.75,1.4,,,,,,,3.0,1.37,2009-339,Brisbane,Hard,32.0,A,20090104.0,14.0,103758.0,,,Taylor Dent,R,188.0,USA,27.7,104327.0,,,Steve Darcis,R,178.0,BEL,24.8,7-6(0) 6-2,3.0,R32,86.0,8.0,5.0,68.0,37.0,31.0,13.0,10.0,6.0,8.0,4.0,2.0,70.0,46.0,24.0,14.0,10.0,1.0,5.0,865.0,28.0,59.0,1362.0
2,1,Brisbane,Brisbane International,20090401,ATP250,Outdoor,Hard,1st Round,3,Benneteau J.,Ginepri R.,40,49.0,1608,1480.0,3.0,6.0,6.0,3.0,7.0,5.0,,,,,2.0,1.0,Completed,2.1,1.66,2.25,1.65,2.1,1.66,2.1,1.727,1.96,1.8,2009-339,Brisbane,Hard,32.0,A,20090104.0,11.0,103898.0,,,Julien Benneteau,R,185.0,FRA,27.0,104068.0,,,Robby Ginepri,R,183.0,USA,26.2,3-6 6-3 7-5,3.0,R32,127.0,10.0,9.0,99.0,62.0,41.0,17.0,15.0,2.0,6.0,8.0,2.0,88.0,53.0,32.0,21.0,15.0,4.0,9.0,40.0,1608.0,49.0,1480.0
3,1,Brisbane,Brisbane International,20090401,ATP250,Outdoor,Hard,1st Round,3,Soderling R.,Querrey S.,17,36.0,2650,1740.0,6.0,3.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.49,2.65,1.53,2.37,1.5,2.625,1.4,2.85,2009-339,Brisbane,Hard,32.0,A,20090104.0,12.0,104417.0,4.0,,Robin Soderling,R,193.0,SWE,24.3,105023.0,,,Sam Querrey,R,198.0,USA,21.2,6-3 6-3,3.0,R32,55.0,7.0,2.0,52.0,30.0,26.0,13.0,9.0,0.0,0.0,4.0,3.0,49.0,27.0,20.0,9.0,9.0,2.0,5.0,17.0,2650.0,36.0,1740.0
4,1,Brisbane,Brisbane International,20090501,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Baghdatis M.,41,96.0,1600,950.0,5.0,7.0,6.0,1.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.72,1.95,1.85,1.83,1.83,2.0,1.8,1.88,1.88,2009-339,Brisbane,Hard,32.0,A,20090104.0,15.0,103813.0,,,Jarkko Nieminen,L,185.0,FIN,27.4,104571.0,,WC,Marcos Baghdatis,R,183.0,CYP,23.5,5-7 6-1 6-4,3.0,R32,124.0,2.0,2.0,89.0,64.0,42.0,15.0,15.0,2.0,5.0,5.0,11.0,91.0,45.0,34.0,18.0,14.0,6.0,11.0,41.0,1600.0,96.0,950.0
5,1,Brisbane,Brisbane International,20090501,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Kunitsyn I.,26,45.0,2260,1562.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.36,3.17,1.4,2.75,1.4,2.875,1.37,3.0,2009-339,Brisbane,Hard,32.0,A,20090104.0,9.0,103285.0,8.0,,Radek Stepanek,R,185.0,CZE,30.1,103857.0,,,Igor Kunitsyn,R,180.0,RUS,27.2,6-2 6-2,3.0,R32,66.0,6.0,1.0,43.0,23.0,19.0,13.0,8.0,0.0,0.0,1.0,2.0,47.0,27.0,18.0,6.0,8.0,7.0,11.0,26.0,2260.0,45.0,1562.0
6,1,Brisbane,Brisbane International,20090501,ATP250,Outdoor,Hard,1st Round,3,Melzer J.,Fish M.,32,22.0,1878,2330.0,6.0,4.0,4.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,2.2,1.61,2.2,1.65,2.2,1.61,2.25,1.615,2.15,1.67,2009-339,Brisbane,Hard,32.0,A,20090104.0,8.0,103781.0,,,Jurgen Melzer,L,183.0,AUT,27.6,103888.0,6.0,,Mardy Fish,R,188.0,USA,27.0,6-4 4-6 7-6(4),3.0,R32,143.0,12.0,4.0,114.0,74.0,59.0,16.0,16.0,8.0,10.0,20.0,2.0,106.0,53.0,41.0,30.0,16.0,8.0,10.0,32.0,1878.0,22.0,2330.0
7,1,Brisbane,Brisbane International,20090501,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Tomic B.,15,764.0,2830,42.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.06,8.0,1.06,9.52,1.04,9.0,1.03,11.0,1.04,11.0,2009-339,Brisbane,Hard,32.0,A,20090104.0,5.0,104269.0,3.0,,Fernando Verdasco,L,188.0,ESP,25.1,106071.0,,WC,Bernard Tomic,R,193.0,AUS,16.2,6-4 6-2,3.0,R32,65.0,1.0,2.0,50.0,39.0,31.0,5.0,9.0,3.0,4.0,3.0,1.0,56.0,34.0,19.0,9.0,9.0,9.0,13.0,15.0,2830.0,764.0,42.0
8,1,Brisbane,Brisbane International,20090601,ATP250,Outdoor,Hard,1st Round,3,Berdych T.,Klein B.,20,248.0,2430,304.0,6.0,0.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.03,11.0,1.05,10.5,1.05,8.5,1.04,10.0,1.03,12.0,2009-339,Brisbane,Hard,32.0,A,20090104.0,4.0,104607.0,5.0,,Tomas Berdych,R,196.0,CZE,23.3,105454.0,,WC,Brydan Klein,R,183.0,AUS,19.0,6-0 6-4,3.0,R32,67.0,5.0,2.0,50.0,33.0,28.0,6.0,8.0,4.0,5.0,0.0,2.0,51.0,27.0,15.0,7.0,8.0,3.0,8.0,20.0,2430.0,248.0,304.0
9,1,Brisbane,Brisbane International,20090601,ATP250,Outdoor,Hard,1st Round,3,Serra F.,Ferrero J.C.,60,52.0,1324,1410.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.75,1.4,2.55,1.5,2.5,1.5,2.5,1.533,2.67,1.45,2009-339,Brisbane,Hard,32.0,A,20090104.0,7.0,103722.0,,,Florent Serra,R,180.0,FRA,27.8,103507.0,,,Juan Carlos Ferrero,R,183.0,ESP,28.8,6-3 7-6(3),3.0,R32,84.0,6.0,2.0,77.0,47.0,39.0,15.0,11.0,2.0,3.0,7.0,2.0,67.0,41.0,31.0,11.0,10.0,8.0,10.0,60.0,1324.0,52.0,1410.0
