,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Brisbane,Brisbane International,20131230,ATP250,Outdoor,Hard,1st Round,3,Matosevic M.,Benneteau J.,61,35.0,774,1160.0,5.0,7.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,1.72,2.0,1.8,2.0,1.91,1.8,1.88,2.01,1.91,1.8,2.0,2.1,1.82,1.94,2014-339,Brisbane,Hard,28.0,A,20131229.0,2.0,104594.0,,,Marinko Matosevic,R,194.0,AUS,28.3,103898.0,,,Julien Benneteau,R,185.0,FRA,32.0,5-7 6-4 7-6(4),3.0,R32,161.0,11.0,3.0,112.0,68.0,43.0,26.0,17.0,5.0,9.0,14.0,1.0,117.0,76.0,51.0,18.0,17.0,7.0,11.0,61.0,774.0,35.0,1160.0
1,1,Brisbane,Brisbane International,20131230,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Duckworth J.,39,136.0,1090,425.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.33,3.2,1.33,3.25,1.35,3.47,1.36,2.88,1.36,3.8,1.32,3.32,2014-339,Brisbane,Hard,28.0,A,20131229.0,1.0,103813.0,,,Jarkko Nieminen,L,185.0,FIN,32.4,105902.0,,WC,James Duckworth,R,183.0,AUS,21.9,6-2 6-3,3.0,R32,72.0,5.0,3.0,71.0,54.0,36.0,9.0,9.0,5.0,5.0,9.0,7.0,51.0,29.0,23.0,6.0,8.0,2.0,5.0,39.0,1090.0,136.0,425.0
2,1,Brisbane,Brisbane International,20131230,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Istomin D.,37,45.0,1130,965.0,6.0,7.0,7.0,6.0,6.0,4.0,,,,,2.0,1.0,Completed,1.36,3.0,1.4,2.9,1.44,2.62,1.39,3.22,1.4,2.75,1.44,3.55,1.39,2.93,2014-339,Brisbane,Hard,28.0,A,20131229.0,11.0,105227.0,,,Marin Cilic,R,198.0,CRO,25.2,104797.0,,,Denis Istomin,R,188.0,UZB,27.3,6-7(3) 7-6(5) 6-4,3.0,R32,142.0,14.0,7.0,111.0,59.0,51.0,27.0,17.0,2.0,2.0,8.0,2.0,100.0,56.0,45.0,29.0,17.0,2.0,3.0,37.0,1130.0,45.0,965.0
3,1,Brisbane,Brisbane International,20131230,ATP250,Outdoor,Hard,1st Round,3,Querrey S.,Tursunov D.,46,29.0,960,1244.0,7.0,5.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.9,1.8,1.9,1.85,1.91,1.8,1.99,1.9,1.91,1.8,2.1,1.91,1.92,1.83,2014-339,Brisbane,Hard,28.0,A,20131229.0,3.0,105023.0,,,Sam Querrey,R,198.0,USA,26.2,104098.0,7.0,,Dmitry Tursunov,R,185.0,RUS,31.0,7-5 6-4,3.0,R32,77.0,18.0,1.0,58.0,40.0,36.0,7.0,11.0,2.0,3.0,4.0,0.0,63.0,40.0,26.0,12.0,11.0,6.0,9.0,46.0,960.0,29.0,1244.0
4,1,Brisbane,Brisbane International,20131230,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Haase R.,23,43.0,1520,977.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.3,3.4,1.33,3.25,1.28,4.01,1.29,3.25,1.33,4.33,1.29,3.53,2014-339,Brisbane,Hard,28.0,A,20131229.0,10.0,105777.0,5.0,,Grigor Dimitrov,R,188.0,BUL,22.6,104898.0,,,Robin Haase,R,190.0,NED,26.7,6-2 6-3,3.0,R32,58.0,6.0,1.0,43.0,23.0,21.0,15.0,9.0,0.0,0.0,2.0,1.0,56.0,39.0,24.0,8.0,8.0,5.0,8.0,23.0,1520.0,43.0,977.0
5,1,Brisbane,Brisbane International,20131231,ATP250,Outdoor,Hard,1st Round,3,Mahut N.,Sijsling I.,50,70.0,918,697.0,3.0,6.0,6.0,4.0,6.0,4.0,,,,,2.0,1.0,Completed,2.25,1.57,2.35,1.58,2.38,1.53,2.49,1.6,2.38,1.53,2.6,1.63,2.37,1.56,2014-339,Brisbane,Hard,28.0,A,20131229.0,5.0,103917.0,,,Nicolas Mahut,R,190.0,FRA,31.9,104997.0,,,Igor Sijsling,R,190.0,NED,26.3,3-6 6-4 6-4,3.0,R32,107.0,15.0,4.0,100.0,59.0,46.0,18.0,15.0,4.0,6.0,13.0,2.0,78.0,50.0,43.0,12.0,14.0,2.0,4.0,50.0,918.0,70.0,697.0
6,1,Brisbane,Brisbane International,20131231,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Kuznetsov Al.,68,142.0,706,397.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.25,3.75,1.3,3.4,1.3,3.4,1.36,3.39,1.33,3.0,1.36,3.8,1.31,3.34,2014-339,Brisbane,Hard,28.0,A,20131229.0,12.0,105051.0,,,Matthew Ebden,R,188.0,AUS,26.0,104864.0,,LL,Alex Kuznetsov,R,183.0,USA,26.8,6-3 6-4,3.0,R32,73.0,5.0,7.0,61.0,40.0,32.0,6.0,10.0,1.0,3.0,4.0,1.0,56.0,43.0,24.0,7.0,9.0,6.0,10.0,68.0,706.0,142.0,397.0
7,1,Brisbane,Brisbane International,20131231,ATP250,Outdoor,Hard,1st Round,3,Lopez F.,Kukushkin M.,28,67.0,1310,721.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.66,2.1,1.65,2.2,1.67,2.1,1.75,2.18,1.62,2.2,1.83,2.2,1.71,2.09,2014-339,Brisbane,Hard,28.0,A,20131229.0,7.0,103852.0,6.0,,Feliciano Lopez,L,188.0,ESP,32.2,105062.0,,,Mikhail Kukushkin,R,183.0,KAZ,26.0,6-4 6-4,3.0,R32,75.0,13.0,3.0,55.0,30.0,24.0,14.0,10.0,1.0,3.0,4.0,2.0,58.0,28.0,12.0,19.0,10.0,2.0,6.0,28.0,1310.0,67.0,721.0
8,1,Brisbane,Brisbane International,20131231,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Mannarino A.,34,59.0,1175,784.0,7.0,6.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.44,2.62,1.55,2.4,1.62,2.2,1.55,2.6,1.57,2.25,1.62,2.75,1.55,2.41,2014-339,Brisbane,Hard,28.0,A,20131229.0,6.0,104871.0,8.0,,Jeremy Chardy,R,188.0,FRA,26.8,105173.0,,,Adrian Mannarino,L,183.0,FRA,25.5,7-6(4) 7-5,3.0,R32,109.0,10.0,2.0,76.0,50.0,34.0,15.0,12.0,4.0,7.0,4.0,3.0,88.0,54.0,31.0,17.0,12.0,5.0,9.0,34.0,1175.0,59.0,784.0
9,1,Brisbane,Brisbane International,20131231,ATP250,Outdoor,Hard,1st Round,3,Copil M.,Sugita Y.,147,170.0,369,310.0,7.0,6.0,6.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.57,2.25,1.55,2.4,1.57,2.25,1.63,2.43,1.67,2.1,1.65,2.43,1.6,2.29,2014-339,Brisbane,Hard,28.0,A,20131229.0,9.0,105657.0,,Q,Marius Copil,R,193.0,ROU,23.2,105216.0,,Q,Yuichi Sugita,R,173.0,JPN,25.2,7-6(5) 6-7(2) 7-6(7),3.0,R32,174.0,31.0,2.0,128.0,75.0,66.0,27.0,18.0,2.0,2.0,4.0,1.0,126.0,90.0,71.0,22.0,18.0,8.0,8.0,147.0,369.0,170.0,310.0
