,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,MaxW,MaxL,AvgW,AvgL,tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
0,1,Brisbane,Brisbane International,20170101,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Ymer E.,79,160.0,689,372.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.28,3.5,1.22,3.5,1.3,3.5,1.31,3.73,1.33,3.9,1.29,3.5,2017-M020,Brisbane,Hard,32.0,A,20170102.0,276.0,111442.0,,WC,Jordan Thompson,R,183.0,AUS,22.7,111200.0,,WC,Elias Ymer,R,183.0,SWE,20.7,6-3 6-2,3.0,R32,90.0,1.0,0.0,46.0,28.0,26.0,6.0,8.0,1.0,2.0,1.0,6.0,74.0,43.0,23.0,13.0,9.0,10.0,15.0,79.0,689.0,160.0,372.0
1,1,Brisbane,Brisbane International,20170201,ATP250,Outdoor,Hard,1st Round,3,Mahut N.,Robert S.,39,54.0,1102,854.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,1.5,2.5,1.45,2.35,1.53,2.5,1.58,2.52,1.59,2.55,1.54,2.43,2017-M020,Brisbane,Hard,32.0,A,20170102.0,279.0,103917.0,,,Nicolas Mahut,R,190.0,FRA,34.9,103565.0,,,Stephane Robert,R,185.0,FRA,36.6,4-6 6-3 6-4,3.0,R32,120.0,13.0,3.0,86.0,55.0,42.0,17.0,15.0,2.0,4.0,9.0,8.0,94.0,46.0,29.0,30.0,14.0,9.0,12.0,39.0,1102.0,54.0,854.0
2,1,Brisbane,Brisbane International,20170201,ATP250,Outdoor,Hard,1st Round,3,Ferrer D.,Tomic B.,21,26.0,1785,1465.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.9,1.8,1.88,1.75,2.0,1.8,2.1,1.81,2.15,1.82,2.01,1.77,2017-M020,Brisbane,Hard,32.0,A,20170102.0,277.0,103970.0,8.0,,David Ferrer,R,175.0,ESP,34.7,106071.0,,,Bernard Tomic,R,193.0,AUS,24.1,6-3 7-5,3.0,R32,83.0,3.0,5.0,52.0,30.0,25.0,12.0,10.0,2.0,3.0,5.0,8.0,74.0,44.0,29.0,12.0,11.0,5.0,9.0,21.0,1785.0,26.0,1465.0
3,1,Brisbane,Brisbane International,20170201,ATP250,Outdoor,Hard,1st Round,3,Edmund K.,Escobedo E.,45,141.0,1001,443.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.36,3.0,1.35,2.75,1.4,3.0,1.42,3.09,1.42,3.25,1.37,3.01,2017-M020,Brisbane,Hard,32.0,A,20170102.0,272.0,106378.0,,,Kyle Edmund,R,188.0,GBR,21.9,124014.0,,Q,Ernesto Escobedo,R,185.0,USA,20.4,7-6(4) 7-6(6),3.0,R32,130.0,11.0,2.0,83.0,48.0,37.0,19.0,12.0,2.0,3.0,11.0,3.0,113.0,67.0,39.0,27.0,12.0,9.0,10.0,45.0,1001.0,141.0,443.0
4,1,Brisbane,Brisbane International,20170201,ATP250,Outdoor,Hard,1st Round,3,Dimitrov G.,Johnson S.,17,33.0,2035,1320.0,6.0,2.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.4,2.75,1.38,2.65,1.4,3.0,1.41,3.13,1.46,3.13,1.41,2.85,2017-M020,Brisbane,Hard,32.0,A,20170102.0,278.0,105777.0,7.0,,Grigor Dimitrov,R,188.0,BUL,25.6,105449.0,,,Steve Johnson,R,188.0,USA,27.0,6-2 6-3,3.0,R32,75.0,3.0,0.0,48.0,25.0,23.0,12.0,9.0,0.0,1.0,2.0,3.0,57.0,36.0,21.0,7.0,8.0,4.0,8.0,17.0,2035.0,33.0,1320.0
5,1,Brisbane,Brisbane International,20170301,ATP250,Outdoor,Hard,1st Round,3,Donaldson J.,Muller G.,105,34.0,570,1255.0,6.0,4.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.62,1.44,2.5,1.4,2.62,1.5,2.74,1.51,2.75,1.51,2.64,1.47,2017-M020,Brisbane,Hard,32.0,A,20170102.0,275.0,111577.0,,Q,Jared Donaldson,R,188.0,USA,20.2,104180.0,,,Gilles Muller,L,193.0,LUX,33.6,6-4 6-4,3.0,R32,75.0,12.0,2.0,55.0,33.0,27.0,13.0,10.0,0.0,1.0,10.0,2.0,58.0,37.0,27.0,7.0,10.0,2.0,5.0,105.0,570.0,34.0,1255.0
6,1,Brisbane,Brisbane International,20170301,ATP250,Outdoor,Hard,1st Round,3,Groth S.,Herbert P.H.,180,78.0,320,698.0,6.0,3.0,5.0,7.0,7.0,5.0,,,,,2.0,1.0,Completed,2.25,1.57,2.25,1.52,2.25,1.62,2.34,1.66,2.4,1.66,2.27,1.61,2017-M020,Brisbane,Hard,32.0,A,20170102.0,280.0,105032.0,,WC,Sam Groth,R,193.0,AUS,29.2,105732.0,,,Pierre Hugues Herbert,R,188.0,FRA,25.7,6-3 5-7 7-5,3.0,R32,130.0,20.0,5.0,106.0,59.0,45.0,28.0,17.0,8.0,10.0,9.0,5.0,87.0,48.0,33.0,24.0,16.0,4.0,7.0,180.0,320.0,78.0,698.0
7,1,Brisbane,Brisbane International,20170301,ATP250,Outdoor,Hard,1st Round,3,Pouille L.,Simon G.,15,25.0,2156,1585.0,7.0,6.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.8,1.9,1.75,1.85,1.91,1.91,1.93,1.95,1.93,2.0,1.83,1.94,2017-M020,Brisbane,Hard,32.0,A,20170102.0,273.0,106298.0,6.0,,Lucas Pouille,R,185.0,FRA,22.8,104468.0,,,Gilles Simon,R,183.0,FRA,32.0,7-6(6) 7-6(4),3.0,R32,125.0,7.0,2.0,102.0,52.0,37.0,24.0,12.0,8.0,12.0,1.0,4.0,76.0,42.0,29.0,16.0,12.0,0.0,4.0,15.0,2156.0,25.0,1585.0
8,1,Brisbane,Brisbane International,20170301,ATP250,Outdoor,Hard,1st Round,3,Troicki V.,Nishioka Y.,29,100.0,1385,604.0,6.0,4.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.5,2.5,1.45,2.4,1.5,2.5,1.54,2.62,1.54,2.85,1.49,2.57,2017-M020,Brisbane,Hard,32.0,A,20170102.0,271.0,104678.0,,,Viktor Troicki,R,193.0,SRB,30.8,106415.0,,Q,Yoshihito Nishioka,L,170.0,JPN,21.2,6-4 7-5,3.0,R32,91.0,11.0,5.0,64.0,45.0,35.0,6.0,11.0,1.0,3.0,0.0,1.0,82.0,53.0,33.0,13.0,11.0,6.0,10.0,29.0,1385.0,100.0,604.0
9,1,Brisbane,Brisbane International,20170301,ATP250,Outdoor,Hard,1st Round,3,Schwartzman D.,Querrey S.,52,31.0,864,1355.0,6.0,2.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.2,1.61,2.05,1.62,2.2,1.67,2.2,1.74,2.3,1.74,2.18,1.66,2017-M020,Brisbane,Hard,32.0,A,20170102.0,284.0,106043.0,,,Diego Schwartzman,R,170.0,ARG,24.3,105023.0,,,Sam Querrey,R,198.0,USA,29.2,6-2 6-4,3.0,R32,58.0,2.0,0.0,47.0,29.0,21.0,11.0,9.0,0.0,2.0,3.0,7.0,50.0,25.0,15.0,9.0,9.0,4.0,9.0,52.0,864.0,31.0,1355.0
